id pieza,nombreee,SISTEMMAA,repsomnsnañbe,id piezas hermnaa,PAISSS,tiempo procesamiento promedio,demanda,tipo proceso,codigo maquinaa
1,Válvula de control de flujo,1,1,43,1,662,6353067,1,A33335
2,Bomba centrífuga,2,2,14,2,494,8398096,1,A301435
3,Motor de corriente continua,3,3,34,3,677,7945222,1,A440087
4,Sensor de temperatura,4,4,21,4,685,1134768,1,A39538
5,Engranaje planetario,5,5,17,5,276,7205370,1,V495138
6,Compresor de aire,6,6,20,6,181,9389166,1,V405703
7,Filtro de aire,7,7,37,7,537,8973529,1,V183148
8,Válvula solenoide,8,8,42,8,551,6031700,1,V161669
9,Tornillo sin fin,5,9,16,9,56,9300568,1,V499753
10,Rodamiento de bolas,9,10,7,10,627,694796,1,V307036
11,Calentador eléctrico,10,11,32,11,348,9094490,1,V347135
12,Válvula de retención,8,12,11,12,177,6259260,1,V583935
13,Cilindro hidráulico,11,13,30,13,404,2947086,1,D252684
14,Placa de circuito impreso,12,14,10,14,119,7335024,1,D434597
15,Sensor de presión,13,15,31,15,235,9431503,1,D356204
16,Bomba de pistón,2,16,28,3,438,3920212,1,D329046
17,Válvula de mariposa,8,17,5,1,181,2789983,1,D582443
18,Enfriador de aceite,14,18,27,3,524,1006066,1,E27256
19,Motor de corriente alterna,3,19,37,1,671,8148173,1,E253731
20,Filtro de combustible,15,20,1,3,538,6438126,1,E77747
21,Transmisor de nivel,16,21,34,1,162,446192,1,E289276
22,Tornillo de bola,5,22,42,1,522,4054570,1,E126883
23,Generador eléctrico,17,23,12,13,615,1041723,1,E368112
24,Acoplamiento flexible,5,24,1,1,493,3087103,1,F164478
25,Sensor de humedad,18,25,39,13,629,1664847,1,F539589
26,Válvula de compuerta,8,26,38,13,202,7510176,1,F593054
27,Calentador de gas,19,27,11,1,200,6634371,1,F261154
28,Motor lineal,3,28,10,12,226,5156632,1,F19161
29,Bomba de diafragma,2,29,43,12,307,3718128,1,F117194
30,Interruptor de presión,13,30,7,1,105,6551522,1,S371877
31,Válvula de alivio,20,31,15,12,617,9051918,1,S175963
32,Filtro de agua,21,32,35,1,693,8809639,1,S354820
33,Motor paso a paso,3,33,33,1,592,5168176,1,S213370
34,Válvula de bola,8,34,44,1,50,3022565,1,S87898
35,Sensor de flujo,22,35,35,1,365,7072786,1,S343417
36,Cilindro neumático,23,36,40,4,481,6288214,1,S578961
37,Manguera de alta presión,24,37,20,5,504,9224027,1,F138462
38,Sonda de temperatura,4,38,36,6,6,2325963,1,F367782
39,Transductor de presión,13,39,15,7,283,4453517,1,F119275
40,Válvula de control direccional,25,40,16,7,5,6661394,1,S238258
41,Elemento de filtro hidráulico,26,41,29,6,55,6225437,1,S259784
42,Regulador de presión,20,42,9,1,210,9484466,1,D43567
43,Compresor de gas,27,43,28,1,470,6128747,1,A51555
44,Sensor de nivel,16,44,32,1,291,5021131,2,A95101
45,Válvula de solenoide proporcional,28,45,40,1,123,3792643,2,A568128
1,Válvula de control de flujo,1,1,43,1,662,6353067,1,A33335
2,Bomba centrífuga,2,2,14,2,494,8398096,1,A301435
3,Motor de corriente continua,3,3,34,3,677,7945222,1,A440087
4,Sensor de temperatura,4,4,21,4,685,1134768,1,A39538
5,Engranaje planetario,5,5,17,5,276,7205370,1,V495138
6,Compresor de aire,6,6,20,6,181,9389166,1,V405703
7,Filtro de aire,7,7,37,7,537,8973529,1,V183148
8,Válvula solenoide,8,8,42,8,551,6031700,1,V161669
9,Tornillo sin fin,5,9,16,9,56,9300568,1,V499753
10,Rodamiento de bolas,9,10,7,10,627,694796,1,V307036
11,Calentador eléctrico,10,11,32,11,348,9094490,1,V347135
12,Válvula de retención,8,12,11,12,177,6259260,1,V583935
13,Cilindro hidráulico,11,13,30,13,404,2947086,1,D252684
14,Placa de circuito impreso,12,14,10,14,119,7335024,1,D434597
15,Sensor de presión,13,15,31,15,235,9431503,1,D356204
16,Bomba de pistón,2,16,28,3,438,3920212,1,D329046
17,Válvula de mariposa,8,17,5,1,181,2789983,1,D582443
18,Enfriador de aceite,14,18,27,3,524,1006066,1,E27256
19,Motor de corriente alterna,3,19,37,1,671,8148173,1,E253731
20,Filtro de combustible,15,20,1,3,538,6438126,1,E77747
21,Transmisor de nivel,16,21,34,1,162,446192,1,E289276
22,Tornillo de bola,5,22,42,1,522,4054570,1,E126883
23,Generador eléctrico,17,23,12,13,615,1041723,1,E368112
24,Acoplamiento flexible,5,24,1,1,493,3087103,1,F164478
25,Sensor de humedad,18,25,39,13,629,1664847,1,F539589
26,Válvula de compuerta,8,26,38,13,202,7510176,1,F593054
27,Calentador de gas,19,27,11,1,200,6634371,1,F261154
28,Motor lineal,3,28,10,12,226,5156632,1,F19161
29,Bomba de diafragma,2,29,43,12,307,3718128,1,F117194
30,Interruptor de presión,13,30,7,1,105,6551522,1,S371877
31,Válvula de alivio,20,31,15,12,617,9051918,1,S175963
32,Filtro de agua,21,32,35,1,693,8809639,1,S354820
33,Motor paso a paso,3,33,33,1,592,5168176,1,S213370
34,Válvula de bola,8,34,44,1,50,3022565,1,S87898
35,Sensor de flujo,22,35,35,1,365,7072786,1,S343417
36,Cilindro neumático,23,36,40,4,481,6288214,1,S578961
37,Manguera de alta presión,24,37,20,5,504,9224027,1,F138462
38,Sonda de temperatura,4,38,36,6,6,2325963,1,F367782
39,Transductor de presión,13,39,15,7,283,4453517,1,F119275
40,Válvula de control direccional,25,40,16,7,5,6661394,1,S238258
41,Elemento de filtro hidráulico,26,41,29,6,55,6225437,1,S259784
42,Regulador de presión,20,42,9,1,210,9484466,1,D43567
43,Compresor de gas,27,43,28,1,470,6128747,1,A51555
44,Sensor de nivel,16,44,32,1,291,5021131,2,A95101
45,Válvula de solenoide proporcional,28,45,40,1,123,3792643,2,A568128
1,Válvula de control de flujo,1,1,43,1,662,6353067,1,A33335
2,Bomba centrífuga,2,2,14,2,494,8398096,1,A301435
3,Motor de corriente continua,3,3,34,3,677,7945222,1,A440087
4,Sensor de temperatura,4,4,21,4,685,1134768,1,A39538
5,Engranaje planetario,5,5,17,5,276,7205370,1,V495138
6,Compresor de aire,6,6,20,6,181,9389166,1,V405703
7,Filtro de aire,7,7,37,7,537,8973529,1,V183148
8,Válvula solenoide,8,8,42,8,551,6031700,1,V161669
9,Tornillo sin fin,5,9,16,9,56,9300568,1,V499753
10,Rodamiento de bolas,9,10,7,10,627,694796,1,V307036
11,Calentador eléctrico,10,11,32,11,348,9094490,1,V347135
12,Válvula de retención,8,12,11,12,177,6259260,1,V583935
13,Cilindro hidráulico,11,13,30,13,404,2947086,1,D252684
14,Placa de circuito impreso,12,14,10,14,119,7335024,1,D434597
15,Sensor de presión,13,15,31,15,235,9431503,1,D356204
16,Bomba de pistón,2,16,28,3,438,3920212,1,D329046
